ID,SiteID,ObservationTimeUTC,Value
412753,36061NY08454,2023-05-01 13:00:00.000,7.56
415485,36061NY09734,2023-05-01 13:00:00.000,7.17
418348,36005NY11790,2023-05-01 13:00:00.000,6.76
402403,36081NY09285,2023-05-01 14:00:00.000,5.44
404887,36061NY10130,2023-05-01 14:00:00.000,6.34
407450,36061NY08552,2023-05-01 14:00:00.000,6.19
410195,36005NY12387,2023-05-01 14:00:00.000,6.82
412752,36061NY08454,2023-05-01 14:00:00.000,7.84
415481,36061NY09734,2023-05-01 14:00:00.000,7.09
418349,36005NY11790,2023-05-01 14:00:00.000,6.78
402404,36081NY09285,2023-05-01 15:00:00.000,4.74
404886,36061NY10130,2023-05-01 15:00:00.000,6.06
407451,36061NY08552,2023-05-01 15:00:00.000,6.43
410197,36005NY12387,2023-05-01 15:00:00.000,6.45
412751,36061NY08454,2023-05-01 15:00:00.000,7.67
415482,36061NY09734,2023-05-01 15:00:00.000,6.81
418347,36005NY11790,2023-05-01 15:00:00.000,9.58
402405,36081NY09285,2023-05-01 16:00:00.000,5.07
404884,36061NY10130,2023-05-01 16:00:00.000,6.16
407452,36061NY08552,2023-05-01 16:00:00.000,6.76
410196,36005NY12387,2023-05-01 16:00:00.000,6.02
412755,36061NY08454,2023-05-01 16:00:00.000,6.56
415483,36061NY09734,2023-05-01 16:00:00.000,6.46
418352,36005NY11790,2023-05-01 16:00:00.000,13.18
402406,36081NY09285,2023-05-01 17:00:00.000,4.78
404885,36061NY10130,2023-05-01 17:00:00.000,5.85
407453,36061NY08552,2023-05-01 17:00:00.000,6.4
410194,36005NY12387,2023-05-01 17:00:00.000,5.62
412756,36061NY08454,2023-05-01 17:00:00.000,7.24
415479,36061NY09734,2023-05-01 17:00:00.000,5.89
418351,36005NY11790,2023-05-01 17:00:00.000,8.47
402407,36081NY09285,2023-05-01 18:00:00.000,4.33
404883,36061NY10130,2023-05-01 18:00:00.000,4.75
407454,36061NY08552,2023-05-01 18:00:00.000,6.21
410191,36005NY12387,2023-05-01 18:00:00.000,5.07
412754,36061NY08454,2023-05-01 18:00:00.000,6.44
415480,36061NY09734,2023-05-01 18:00:00.000,5.9
418350,36005NY11790,2023-05-01 18:00:00.000,9.29
402408,36081NY09285,2023-05-01 19:00:00.000,4.49
404881,36061NY10130,2023-05-01 19:00:00.000,4.88
407455,36061NY08552,2023-05-01 19:00:00.000,5.84
410192,36005NY12387,2023-05-01 19:00:00.000,5.23
412757,36061NY08454,2023-05-01 19:00:00.000,6.33
415478,36061NY09734,2023-05-01 19:00:00.000,5.52
418354,36005NY11790,2023-05-01 19:00:00.000,9.25
402409,36081NY09285,2023-05-01 20:00:00.000,4.35
404882,36061NY10130,2023-05-01 20:00:00.000,4.13
407456,36061NY08552,2023-05-01 20:00:00.000,5.46
410193,36005NY12387,2023-05-01 20:00:00.000,5.7
412761,36061NY08454,2023-05-01 20:00:00.000,6.53
415476,36061NY09734,2023-05-01 20:00:00.000,6.31
418353,36005NY11790,2023-05-01 20:00:00.000,7.54
402410,36081NY09285,2023-05-01 21:00:00.000,4.77
404880,36061NY10130,2023-05-01 21:00:00.000,4.07
407458,36061NY08552,2023-05-01 21:00:00.000,5.73
410189,36005NY12387,2023-05-01 21:00:00.000,5.6
412759,36061NY08454,2023-05-01 21:00:00.000,6.75
415477,36061NY09734,2023-05-01 21:00:00.000,6.78
418355,36005NY11790,2023-05-01 21:00:00.000,5.57
402411,36081NY09285,2023-05-01 22:00:00.000,5.36
404879,36061NY10130,2023-05-01 22:00:00.000,4.47
407457,36061NY08552,2023-05-01 22:00:00.000,5.76
410190,36005NY12387,2023-05-01 22:00:00.000,5.9
412758,36061NY08454,2023-05-01 22:00:00.000,6.29
415475,36061NY09734,2023-05-01 22:00:00.000,6.18
418357,36005NY11790,2023-05-01 22:00:00.000,4.98
402412,36081NY09285,2023-05-01 23:00:00.000,4.49
404878,36061NY10130,2023-05-01 23:00:00.000,4.22
407459,36061NY08552,2023-05-01 23:00:00.000,5.78
410188,36005NY12387,2023-05-01 23:00:00.000,6.03
412760,36061NY08454,2023-05-01 23:00:00.000,6.35
415473,36061NY09734,2023-05-01 23:00:00.000,6.21
418356,36005NY11790,2023-05-01 23:00:00.000,5.73
402413,36081NY09285,2023-05-02 00:00:00.000,4.45
404877,36061NY10130,2023-05-02 00:00:00.000,5.77
407460,36061NY08552,2023-05-02 00:00:00.000,5.18
410185,36005NY12387,2023-05-02 00:00:00.000,5.52
412762,36061NY08454,2023-05-02 00:00:00.000,5.29
415474,36061NY09734,2023-05-02 00:00:00.000,6.01
418358,36005NY11790,2023-05-02 00:00:00.000,3.47
402414,36081NY09285,2023-05-02 01:00:00.000,5.06
404876,36061NY10130,2023-05-02 01:00:00.000,5.71
407461,36061NY08552,2023-05-02 01:00:00.000,6.51
410187,36005NY12387,2023-05-02 01:00:00.000,6.2
412763,36061NY08454,2023-05-02 01:00:00.000,5.66
415472,36061NY09734,2023-05-02 01:00:00.000,6.43
418359,36005NY11790,2023-05-02 01:00:00.000,3.27
402415,36081NY09285,2023-05-02 02:00:00.000,5.31
404875,36061NY10130,2023-05-02 02:00:00.000,5.32
407462,36061NY08552,2023-05-02 02:00:00.000,5.7
410186,36005NY12387,2023-05-02 02:00:00.000,6.09
412764,36061NY08454,2023-05-02 02:00:00.000,5.3
415470,36061NY09734,2023-05-02 02:00:00.000,6.32
418360,36005NY11790,2023-05-02 02:00:00.000,7.2
402416,36081NY09285,2023-05-02 03:00:00.000,5.57
404874,36061NY10130,2023-05-02 03:00:00.000,5.68
407463,36061NY08552,2023-05-02 03:00:00.000,5.96
410184,36005NY12387,2023-05-02 03:00:00.000,6.7
412765,36061NY08454,2023-05-02 03:00:00.000,5.33
415471,36061NY09734,2023-05-02 03:00:00.000,6.95
418362,36005NY11790,2023-05-02 03:00:00.000,3.82
402417,36081NY09285,2023-05-02 04:00:00.000,5.1
404873,36061NY10130,2023-05-02 04:00:00.000,6.32
407464,36061NY08552,2023-05-02 04:00:00.000,6.22
410183,36005NY12387,2023-05-02 04:00:00.000,7.06
412766,36061NY08454,2023-05-02 04:00:00.000,5.61
415467,36061NY09734,2023-05-02 04:00:00.000,6.49
418361,36005NY11790,2023-05-02 04:00:00.000,5.07
402418,36081NY09285,2023-05-02 05:00:00.000,4.33
404871,36061NY10130,2023-05-02 05:00:00.000,4.79
407466,36061NY08552,2023-05-02 05:00:00.000,5.2
410181,36005NY12387,2023-05-02 05:00:00.000,5.37
412768,36061NY08454,2023-05-02 05:00:00.000,4.22
415466,36061NY09734,2023-05-02 05:00:00.000,4.68
418364,36005NY11790,2023-05-02 05:00:00.000,4.78
402419,36081NY09285,2023-05-02 06:00:00.000,4.08
404872,36061NY10130,2023-05-02 06:00:00.000,4.11
407465,36061NY08552,2023-05-02 06:00:00.000,4.65
410182,36005NY12387,2023-05-02 06:00:00.000,5.41
412767,36061NY08454,2023-05-02 06:00:00.000,4.06
415468,36061NY09734,2023-05-02 06:00:00.000,4.35
418363,36005NY11790,2023-05-02 06:00:00.000,4.29
402420,36081NY09285,2023-05-02 07:00:00.000,3.81
404868,36061NY10130,2023-05-02 07:00:00.000,3.93
407468,36061NY08552,2023-05-02 07:00:00.000,3.94
410179,36005NY12387,2023-05-02 07:00:00.000,4.66
412771,36061NY08454,2023-05-02 07:00:00.000,3.78
415469,36061NY09734,2023-05-02 07:00:00.000,4.22
418367,36005NY11790,2023-05-02 07:00:00.000,3.8
402421,36081NY09285,2023-05-02 08:00:00.000,4.09
404869,36061NY10130,2023-05-02 08:00:00.000,4.12
407469,36061NY08552,2023-05-02 08:00:00.000,4.21
410178,36005NY12387,2023-05-02 08:00:00.000,4.98
412769,36061NY08454,2023-05-02 08:00:00.000,3.84
415464,36061NY09734,2023-05-02 08:00:00.000,4.33
418366,36005NY11790,2023-05-02 08:00:00.000,4.56
402422,36081NY09285,2023-05-02 09:00:00.000,4.58
404870,36061NY10130,2023-05-02 09:00:00.000,4.63
407467,36061NY08552,2023-05-02 09:00:00.000,5.14
410180,36005NY12387,2023-05-02 09:00:00.000,7.0
412770,36061NY08454,2023-05-02 09:00:00.000,4.68
415465,36061NY09734,2023-05-02 09:00:00.000,4.57
418365,36005NY11790,2023-05-02 09:00:00.000,14.06
402423,36081NY09285,2023-05-02 10:00:00.000,4.23
404867,36061NY10130,2023-05-02 10:00:00.000,6.18
407471,36061NY08552,2023-05-02 10:00:00.000,5.34
410177,36005NY12387,2023-05-02 10:00:00.000,9.15
412773,36061NY08454,2023-05-02 10:00:00.000,5.41
415463,36061NY09734,2023-05-02 10:00:00.000,5.03
418368,36005NY11790,2023-05-02 10:00:00.000,16.8
402424,36081NY09285,2023-05-02 11:00:00.000,3.94
404866,36061NY10130,2023-05-02 11:00:00.000,4.41
407472,36061NY08552,2023-05-02 11:00:00.000,5.25
410176,36005NY12387,2023-05-02 11:00:00.000,5.96
412772,36061NY08454,2023-05-02 11:00:00.000,5.19
415462,36061NY09734,2023-05-02 11:00:00.000,5.01
418369,36005NY11790,2023-05-02 11:00:00.000,7.55
402425,36081NY09285,2023-05-02 12:00:00.000,4.06
404865,36061NY10130,2023-05-02 12:00:00.000,5.03
407470,36061NY08552,2023-05-02 12:00:00.000,5.31
410172,36005NY12387,2023-05-02 12:00:00.000,6.29
412774,36061NY08454,2023-05-02 12:00:00.000,4.16
415461,36061NY09734,2023-05-02 12:00:00.000,5.65
418370,36005NY11790,2023-05-02 12:00:00.000,5.44
402426,36081NY09285,2023-05-02 13:00:00.000,5.08
404862,36061NY10130,2023-05-02 13:00:00.000,7.26
407476,36061NY08552,2023-05-02 13:00:00.000,6.52
410171,36005NY12387,2023-05-02 13:00:00.000,7.87
412777,36061NY08454,2023-05-02 13:00:00.000,4.85
415456,36061NY09734,2023-05-02 13:00:00.000,7.38
418373,36005NY11790,2023-05-02 13:00:00.000,7.85
402427,36081NY09285,2023-05-02 14:00:00.000,4.25
404861,36061NY10130,2023-05-02 14:00:00.000,5.92
407477,36061NY08552,2023-05-02 14:00:00.000,6.15
410170,36005NY12387,2023-05-02 14:00:00.000,7.91
412778,36061NY08454,2023-05-02 14:00:00.000,3.7
415455,36061NY09734,2023-05-02 14:00:00.000,6.55
418375,36005NY11790,2023-05-02 14:00:00.000,6.66
402428,36081NY09285,2023-05-02 15:00:00.000,4.72
404860,36061NY10130,2023-05-02 15:00:00.000,6.04
407475,36061NY08552,2023-05-02 15:00:00.000,7.52
410173,36005NY12387,2023-05-02 15:00:00.000,5.09
412779,36061NY08454,2023-05-02 15:00:00.000,4.2
415457,36061NY09734,2023-05-02 15:00:00.000,6.84
418374,36005NY11790,2023-05-02 15:00:00.000,4.69
404863,36061NY10130,2023-05-02 16:00:00.000,6.11
407473,36061NY08552,2023-05-02 16:00:00.000,5.74
410174,36005NY12387,2023-05-02 16:00:00.000,5.14
412776,36061NY08454,2023-05-02 16:00:00.000,5.77
415458,36061NY09734,2023-05-02 16:00:00.000,6.39
418372,36005NY11790,2023-05-02 16:00:00.000,5.32
404864,36061NY10130,2023-05-02 17:00:00.000,6.76
407474,36061NY08552,2023-05-02 17:00:00.000,6.84
410175,36005NY12387,2023-05-02 17:00:00.000,5.41
412775,36061NY08454,2023-05-02 17:00:00.000,5.7
415459,36061NY09734,2023-05-02 17:00:00.000,6.61
418371,36005NY11790,2023-05-02 17:00:00.000,5.8
404855,36061NY10130,2023-05-02 18:00:00.000,6.42
407483,36061NY08552,2023-05-02 18:00:00.000,6.38
410164,36005NY12387,2023-05-02 18:00:00.000,5.23
412784,36061NY08454,2023-05-02 18:00:00.000,5.0
415460,36061NY09734,2023-05-02 18:00:00.000,5.43
418380,36005NY11790,2023-05-02 18:00:00.000,5.99
404856,36061NY10130,2023-05-02 19:00:00.000,5.93
407481,36061NY08552,2023-05-02 19:00:00.000,5.53
410165,36005NY12387,2023-05-02 19:00:00.000,4.75
412783,36061NY08454,2023-05-02 19:00:00.000,4.76
415449,36061NY09734,2023-05-02 19:00:00.000,5.22
